"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT03","WT04","WT08"
"USC00308380","SYRACUSE, NY US","1922-01-24",,,,"0.04","0.0","1.0","10","2",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-25",,,,"0.00","0.0","0.0","11","-6",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-26",,,,"0.00","0.0","0.0","13","-8",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-27",,,,"0.00","0.0","0.0","17","-2",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-28",,,,"0.00","0.0","0.0","24","10",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-29",,,,"0.00","0.0","0.0","26","16",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-30",,,,"0.00","0.0","0.0","34","12",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-31",,,,"0.00","0.0","0.0","39","15",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-01",,,,"0.15","0.0","0.0","44","26",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-02",,,,"0.10","0.0","0.0","48","30",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-03",,,,"0.01","0.0","0.0","31","26",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-04",,,,"0.11","0.0","2.0","29","24",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-05",,,,"0.00","0.0","0.0","38","21",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-06",,,,"0.25","0.0","1.0","38","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-07",,,,"0.03","0.0","1.0","33","15",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-08",,,,"0.03","0.0","1.0","25","8",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-09",,,,"0.03","0.0","0.0","36","25",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-10",,,,"0.00","0.0","0.0","40","30",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-11",,,,"0.10","0.0","0.0","47","26",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-02-12",,,,"0.08","0.0","0.0","33","14",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-13",,,,"0.12","0.0","2.0","37","16",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-14",,,,"0.00","0.0","0.0","25","16",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-15",,,,"0.15","0.0","2.0","31","19",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-16",,,,"0.01","0.0","0.0","19","-4",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-17",,,,"0.00","0.0","0.0","8","-10",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-18",,,,"0.06","0.0","0.0","33","8",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-19",,,,"0.30","0.0","2.0","50","30",,,,,"    1",
"USC00308380","SYRACUSE, NY US","1922-02-20",,,,"0.00","0.0","0.0","48","27",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-21",,,,"0.00","0.0","0.0","31","22",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-22",,,,"0.92","0.3","1.0","33","28",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-23",,,,"0.06","0.0","0.0","64","26",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-24",,,,"0.00","0.0","0.0","26","10",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-25",,,,"0.00","0.0","0.0","31","15",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-26",,,,"0.00","0.0","0.0","35","20",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-27",,,,"0.26","0.0","2.0","39","28",,,,,,
"USC00308380","SYRACUSE, NY US","1922-02-28",,,,"0.06","0.0","1.0","34","15",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-01",,,,"0.00","0.0","0.0","25","9",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-02",,,,"0.18","0.0","2.0","29","20",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-03",,,,"0.00","0.0","0.0","37","23",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-04",,,,"0.20","0.0","1.0","42","25",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-05",,,,"0.12","0.0","1.0","44","31",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-06",,,,"0.00","0.0","0.0","56","33",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-07",,,,"0.50","0.0","0.0","55","33",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-08",,,,"0.01","0.0","0.0","34","21",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-09",,,,"0.00","0.0","0.0","42","26",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-10",,,,"0.00","0.0","0.0","48","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-11",,,,"0.47","0.0","2.0","39","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-12",,,,"0.00","0.0","0.0","41","29",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-13",,,,"0.00","0.0","0.0","55","29",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-14",,,,"0.00","0.0","0.0","55","38",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-15",,,,"0.00","0.0","0.0","46","33",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-16",,,,"0.07","0.0","1.0","35","21",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-17",,,,"0.00","0.0","0.0","21","14",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-18",,,,"0.00","0.0","0.0","25","15",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-19",,,,"0.10","0.0","0.0","47","21",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-20",,,,"0.48","0.0","0.0","43","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-21",,,,"0.07","0.0","1.0","35","29",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-22",,,,"0.11","0.0","2.0","29","23",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-23",,,,"0.00","0.0","0.0","37","22",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-24",,,,"0.00","0.0","0.0","48","34",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-25",,,,"0.00","0.0","0.0","64","30",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-26",,,,"0.12","0.0","0.0","63","37",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-27",,,,"0.39","0.0","0.0","44","36",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-28",,,,"0.32","0.0","0.0","66","43",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-03-29",,,,"0.00","0.0","0.0","53","27",,,,,,
"USC00308380","SYRACUSE, NY US","1922-03-30",,,,"0.94","0.5","5.0","32","25",,,,,"    1",
"USC00308380","SYRACUSE, NY US","1922-03-31",,,,"0.60","0.0","0.0","35","30",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-01",,,,"0.47","0.0","1.0","37","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-02",,,,"0.00","0.0","0.0","36","29",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-03",,,,"0.00","0.0","0.0","44","30",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-04",,,,"0.01","0.0","0.0","49","37",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-05",,,,"0.00","0.0","0.0","52","35",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-06",,,,"0.00","0.0","0.0","60","39",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-07",,,,"0.16","0.0","0.0","63","43",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-08",,,,"0.00","0.0","0.0","59","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-09",,,,"0.02","0.0","0.0","72","46",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-10",,,,"0.00","0.0","0.0","79","62",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-11",,,,"0.13","0.0","0.0","75","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-12",,,,"0.13","0.0","0.0","53","36",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-13",,,,"0.00","0.0","0.0","43","36",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-14",,,,"0.10","0.0","0.0","53","37",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-15",,,,"0.62","0.0","0.0","48","38",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-16",,,,"0.00","0.0","0.0","62","37",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-17",,,,"0.19","0.0","0.0","69","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-18",,,,"0.03","0.0","0.0","69","40",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-19",,,,"0.07","0.0","0.0","57","39",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-20",,,,"0.53","0.0","6.0","42","26",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-21",,,,"0.00","0.0","1.0","36","25",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-22",,,,"0.00","0.0","0.0","44","29",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-23",,,,"0.00","0.0","0.0","44","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-24",,,,"0.00","0.0","0.0","52","31",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-25",,,,"0.00","0.0","0.0","63","35",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-26",,,,"0.00","0.0","0.0","64","44",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-27",,,,"0.01","0.0","0.0","46","32",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-28",,,,"0.00","0.0","0.0","44","33",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-29",,,,"0.00","0.0","0.0","60","35",,,,,,
"USC00308380","SYRACUSE, NY US","1922-04-30",,,,"0.00","0.0","0.0","51","35",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-01",,,,"0.00","0.0","0.0","66","34",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-02",,,,"0.00","0.0","0.0","72","47",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-03",,,,"0.15","0.0","0.0","76","53",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-05-04",,,,"2.19","0.0","0.0","72","47",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-05-05",,,,"0.00","0.0","0.0","63","47",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-06",,,,"0.00","0.0","0.0","73","48",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-07",,,,"0.23","0.0","0.0","66","47",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-05-08",,,,"0.00","0.0","0.0","59","42",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-09",,,,"0.00","0.0","0.0","68","45",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-10",,,,"0.00","0.0","0.0","72","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-11",,,,"0.00","0.0","0.0","62","51",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-12",,,,"0.00","0.0","0.0","59","43",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-13",,,,"0.00","0.0","0.0","67","42",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-14",,,,"0.00","0.0","0.0","69","45",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-15",,,,"0.00","0.0","0.0","73","47",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-16",,,,"0.00","0.0","0.0","78","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-17",,,,"0.00","0.0","0.0","73","56",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-18",,,,"0.24","0.0","0.0","70","51",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-19",,,,"0.54","0.0","0.0","66","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-20",,,,"0.01","0.0","0.0","63","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-21",,,,"0.00","0.0","0.0","65","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-22",,,,"0.00","0.0","0.0","70","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-23",,,,"0.00","0.0","0.0","72","49",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-24",,,,"0.00","0.0","0.0","82","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-25",,,,"0.48","0.0","0.0","71","64",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-05-26",,,,"0.00","0.0","0.0","71","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-27",,,,"0.00","0.0","0.0","70","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-28",,,,"0.00","0.0","0.0","70","46",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-29",,,,"0.00","0.0","0.0","77","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-30",,,,"0.00","0.0","0.0","82","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-05-31",,,,"0.00","0.0","0.0","80","64",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-01",,,,"0.00","0.0","0.0","75","59",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-02",,,,"1.28","0.0","0.0","68","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-03",,,,"0.85","0.0","0.0","66","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-04",,,,"0.00","0.0","0.0","77","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-05",,,,"0.00","0.0","0.0","78","59",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-06",,,,"0.01","0.0","0.0","80","65",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-07",,,,"0.00","0.0","0.0","84","66",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-08",,,,"0.00","0.0","0.0","86","73",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-09",,,,"0.17","0.0","0.0","80","70",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-10",,,,"0.71","0.0","0.0","78","64",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-11",,,,"4.79","0.0","0.0","75","64",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-12",,,,"0.00","0.0","0.0","65","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-13",,,,"0.00","0.0","0.0","61","45",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-14",,,,"0.00","0.0","0.0","73","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-15",,,,"0.00","0.0","0.0","68","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-16",,,,"0.00","0.0","0.0","77","50",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-17",,,,"4.75","0.0","0.0","79","63",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-18",,,,"0.00","0.0","0.0","63","56",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-19",,,,"0.00","0.0","0.0","65","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-20",,,,"0.00","0.0","0.0","78","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-21",,,,"0.66","0.0","0.0","72","60",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-22",,,,"1.22","0.0","0.0","61","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-23",,,,"0.06","0.0","0.0","76","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-24",,,,"0.00","0.0","0.0","86","62",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-25",,,,"0.03","0.0","0.0","78","54",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-26",,,,"0.00","0.0","0.0","66","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-27",,,,"0.31","0.0","0.0","72","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-06-28",,,,"0.16","0.0","0.0","82","65",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-29",,,,"0.92","0.0","0.0","78","65",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-06-30",,,,"0.00","0.0","0.0","82","61",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-01",,,,"0.45","0.0","0.0","80","61",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-07-02",,,,"0.00","0.0","0.0","76","63",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-03",,,,"0.08","0.0","0.0","70","61",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-04",,,,"0.00","0.0","0.0","67","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-05",,,,"0.00","0.0","0.0","75","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-06",,,,"0.00","0.0","0.0","77","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-07",,,,"0.00","0.0","0.0","84","65",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-08",,,,"0.35","0.0","0.0","76","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-09",,,,"0.00","0.0","0.0","76","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-10",,,,"0.00","0.0","0.0","83","60",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-11",,,,"0.00","0.0","0.0","87","69",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-07-12",,,,"0.05","0.0","0.0","90","70",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-07-13",,,,"0.00","0.0","0.0","78","62",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-14",,,,"0.00","0.0","0.0","81","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-15",,,,"0.00","0.0","0.0","83","65",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-16",,,,"0.00","0.0","0.0","86","65",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-17",,,,"0.47","0.0","0.0","86","67",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-07-18",,,,"0.55","0.0","0.0","75","64",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-07-19",,,,"0.00","0.0","0.0","74","60",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-20",,,,"0.00","0.0","0.0","77","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-21",,,,"0.00","0.0","0.0","81","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-22",,,,"0.00","0.0","0.0","80","61",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-23",,,,"0.44","0.0","0.0","74","67",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-24",,,,"0.00","0.0","0.0","75","60",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-25",,,,"0.00","0.0","0.0","77","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-26",,,,"0.00","0.0","0.0","78","61",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-27",,,,"0.00","0.0","0.0","78","63",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-28",,,,"0.00","0.0","0.0","75","65",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-29",,,,"0.00","0.0","0.0","68","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-30",,,,"0.00","0.0","0.0","79","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-07-31",,,,"0.00","0.0","0.0","81","63",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-01",,,,"0.14","0.0","0.0","77","62",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-02",,,,"0.01","0.0","0.0","77","61",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-03",,,,"0.95","0.0","0.0","76","61",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-04",,,,"0.01","0.0","0.0","75","58",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-05",,,,"0.00","0.0","0.0","73","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-06",,,,"1.00","0.0","0.0","79","57",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-07",,,,"0.61","0.0","0.0","82","59",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-08",,,,"0.00","0.0","0.0","65","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-09",,,,"0.00","0.0","0.0","69","47",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-10",,,,"0.00","0.0","0.0","75","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-11",,,,"0.00","0.0","0.0","76","58",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-12",,,,"0.00","0.0","0.0","77","59",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-13",,,,"0.00","0.0","0.0","82","60",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-14",,,,"0.00","0.0","0.0","85","64",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-15",,,,"0.00","0.0","0.0","86","65",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-16",,,,"0.00","0.0","0.0","87","72",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-17",,,,"0.00","0.0","0.0","85","70",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-18",,,,"0.46","0.0","0.0","90","63",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-19",,,,"0.00","0.0","0.0","72","59",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-20",,,,"0.00","0.0","0.0","62","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-21",,,,"0.00","0.0","0.0","70","49",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-22",,,,"0.00","0.0","0.0","81","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-23",,,,"0.67","0.0","0.0","79","66",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-24",,,,"0.43","0.0","0.0","81","65",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-25",,,,"0.56","0.0","0.0","77","64",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-08-26",,,,"0.00","0.0","0.0","72","59",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-27",,,,"0.00","0.0","0.0","67","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-28",,,,"0.01","0.0","0.0","70","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-29",,,,"0.02","0.0","0.0","70","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-30",,,,"0.00","0.0","0.0","75","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-08-31",,,,"0.00","0.0","0.0","76","55",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-01",,,,"0.00","0.0","0.0","78","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-02",,,,"0.00","0.0","0.0","77","64",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-03",,,,"0.00","0.0","0.0","76","70",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-04",,,,"0.00","0.0","0.0","79","60",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-05",,,,"0.00","0.0","0.0","82","56",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-06",,,,"0.01","0.0","0.0","77","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-07",,,,"0.00","0.0","0.0","75","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-08",,,,"0.00","0.0","0.0","81","63",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-09",,,,"0.00","0.0","0.0","87","68",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-10",,,,"0.00","0.0","0.0","86","72",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-11",,,,"0.46","0.0","0.0","81","61",,,,"    1",,
"USC00308380","SYRACUSE, NY US","1922-09-12",,,,"0.27","0.0","0.0","64","57",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-13",,,,"0.01","0.0","0.0","72","54",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-14",,,,"0.50","0.0","0.0","63","56",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-15",,,,"0.02","0.0","0.0","66","56",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-16",,,,"0.00","0.0","0.0","66","51",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-17",,,,"0.00","0.0","0.0","60","45",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-18",,,,"0.00","0.0","0.0","61","39",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-19",,,,"0.04","0.0","0.0","59","52",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-20",,,,"0.00","0.0","0.0","67","53",,,,,,
"USC00308380","SYRACUSE, NY US","1922-09-21",,,,"0.00","0.0","0.0","73","49",,,,,,
